Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Source Code,Source,Unit,Value,Flag,Flag Description,Note
"GCE","Emissions from Crops","076","Brazil","7245","Burning crop residues (Biomass burned, dry matter)","01802","Sugar cane","1992","1992","3050","FAO TIER 1","t","2731692.6","E","Estimated value",""
"GCE","Emissions from Crops","076","Brazil","72307","Burning crop residues (Emissions N2O)","01802","Sugar cane","1992","1992","3050","FAO TIER 1","kt","0.1912","E","Estimated value",""
"GCE","Emissions from Crops","076","Brazil","72257","Burning crop residues (Emissions CH4)","01802","Sugar cane","1992","1992","3050","FAO TIER 1","kt","7.3756","E","Estimated value",""
"GCE","Emissions from Crops","076","Brazil","72302","Crop residues (Emissions N2O)","01802","Sugar cane","1993","1993","3050","FAO TIER 1","kt","","A","Official figure",""
"GCE","Emissions from Crops","076","Brazil","7245","Burning crop residues (Biomass burned, dry matter)","01802","Sugar cane","1993","1993","3050","FAO TIER 1","t","2511406.3","E","Estimated value",""
"GCE","Emissions from Crops","076","Brazil","72307","Burning crop residues (Emissions N2O)","01802","Sugar cane","1993","1993","3050","FAO TIER 1","kt","0.1758","E","Estimated value",""
"GCE","Emissions from Crops","076","Brazil","72257","Burning crop residues (Emissions CH4)","01802","Sugar cane","1993","1993","3050","FAO TIER 1","kt","6.7808","E","Estimated value",""
"GCE","Emissions from Crops","076","Brazil","72302","Crop residues (Emissions N2O)","01802","Sugar cane","1994","1994","3050","FAO TIER 1","kt","","A","Official figure",""
"GCE","Emissions from Crops","076","Brazil","7245","Burning crop residues (Biomass burned, dry matter)","01802","Sugar cane","1994","1994","3050","FAO TIER 1","t","2824419","E","Estimated value",""
"GCE","Emissions from Crops","076","Brazil","72307","Burning crop residues (Emissions N2O)","01802","Sugar cane","1994","1994","3050","FAO TIER 1","kt","0.1977","E","Estimated value",""
"GCE","Emissions from Crops","076","Brazil","72257","Burning crop residues (Emissions CH4)","01802","Sugar cane","1994","1994","3050","FAO TIER 1","kt","7.6259","E","Estimated value",""
"GCE","Emissions from Crops","076","Brazil","72302","Crop residues (Emissions N2O)","01802","Sugar cane","1995","1995","3050","FAO TIER 1","kt","","A","Official figure",""
"GCE","Emissions from Crops","076","Brazil","7245","Burning crop residues (Biomass burned, dry matter)","01802","Sugar cane","1995","1995","3050","FAO TIER 1","t","2963390.3","E","Estimated value",""
"GCE","Emissions from Crops","076","Brazil","72307","Burning crop residues (Emissions N2O)","01802","Sugar cane","1995","1995","3050","FAO TIER 1","kt","0.2074","E","Estimated value",""
